year,month,dmi
1979,11,-0.457484
1979,12,-0.499943
1980,1,-0.634932
1980,2,-0.294037
1980,3,5.21E-02
1980,4,-0.215217
1980,5,-0.22778
1980,6,-0.144853
1980,7,-0.400139
1980,8,-0.599308
1980,9,-0.339373
1980,10,-0.229481
1980,11,1.66E-02
1980,12,0.29087
1981,1,0.398831
1981,2,0.570338
1981,3,0.572727
1981,4,0.442441
1981,5,5.43E-02
1981,6,-0.18801
1981,7,-0.461727
1981,8,-0.532468
1981,9,-0.420189
1981,10,-1.01E-01
1981,11,0.218585
1981,12,0.506294
1982,1,0.786917
1982,2,0.804158
1982,3,0.867592
1982,4,1.03628
1982,5,1.20871
1982,6,1.08742
1982,7,1.22802
1982,8,1.57032
1982,9,1.42248
1982,10,0.959463
1982,11,0.46953
1982,12,-0.142534
1983,1,-1.29676
1983,2,-2.02086
1983,3,-1.9139
1983,4,-1.1801
1983,5,-0.338843
1983,6,0.680612
1983,7,1.38042
1983,8,1.50015
1983,9,1.0955
1983,10,0.386534
1983,11,-0.161368
1983,12,-0.69017
1984,1,-0.709573
1984,2,-0.417686
1984,3,-0.420721
1984,4,-0.631579
1984,5,-0.431155
1984,6,-0.662495
1984,7,-1.03806
1984,8,-0.870391
1984,9,-1.00013
1984,10,-1.0572
1984,11,-0.944744
1984,12,-0.782372
1985,1,-0.870019
1985,2,-0.169132
1985,3,-5.68E-02
1985,4,-0.564538
1985,5,-0.641591
1985,6,-0.626213
1985,7,-0.770215
1985,8,-0.774151
1985,9,0.124669
1985,10,0.377018
1985,11,0.669645
1985,12,0.65847
1986,1,1.21224
1986,2,0.928618
1986,3,0.595575
1986,4,0.322036
1986,5,-0.132534
1986,6,-0.466179
1986,7,-0.520027
1986,8,-0.16873
1986,9,0.697542
1986,10,1.41268
1986,11,1.29457
1986,12,1.18666
1987,1,0.811335
1987,2,-0.118622
1987,3,-0.182671
1987,4,-0.208433
1987,5,-0.142769
1987,6,1.04E-01
1987,7,0.532652
1987,8,0.610818
1987,9,0.427135
1987,10,0.376077
1987,11,0.504958
1987,12,0.320484
1988,1,3.56E-02
1988,2,0.383032
1988,3,1.02E-01
1988,4,-0.270899
1988,5,-0.246174
1988,6,-0.120841
1988,7,-0.290869
1988,8,-7.53E-03
1988,9,6.74E-02
1988,10,4.82E-02
1988,11,-0.172172
1988,12,0.158311
1989,1,0.14792
1989,2,0.228195
1989,3,2.88E-02
1989,4,-9.51E-02
1989,5,-0.291709
1989,6,-0.678684
1989,7,-0.934681
1989,8,-0.880423
1989,9,-0.933349
1989,10,-1.05697
1989,11,-0.45622
1989,12,-0.161029
1990,1,0.111133
1990,2,0.286366
1990,3,0.204694
1990,4,-0.212019
1990,5,-0.145044
1990,6,-0.242262
1990,7,-0.326312
1990,8,-0.466062
1990,9,-0.241066
1990,10,-0.439048
1990,11,-0.606702
1990,12,-0.332106
1991,1,-1.04E-01
1991,2,0.302688
1991,3,1.02414
1991,4,1.39416
1991,5,1.62792
1991,6,1.5995
1991,7,1.46595
1991,8,0.918358
1991,9,0.885647
1991,10,0.663658
1991,11,0.457255
1991,12,2.87E-03
1992,1,-0.220877
1992,2,-0.543659
1992,3,-0.753906
1992,4,-1.20545
1992,5,-1.03746
1992,6,-1.55064
1992,7,-1.92854
1992,8,-2.04571
1992,9,-1.23261
1992,10,-1.10759
1992,11,-0.520002
1992,12,-0.126097
1993,1,-6.88E-02
1993,2,-0.372151
1993,3,-0.132324
1993,4,8.94E-02
1993,5,0.438298
1993,6,0.707483
1993,7,0.782816
1993,8,0.135216
1993,9,-0.231459
1993,10,-0.897767
1993,11,-0.623781
1993,12,-0.654352
1994,1,-1.96E-02
1994,2,0.393244
1994,3,1.32059
1994,4,1.24312
1994,5,1.96735
1994,6,2.61057
1994,7,3.091
1994,8,3.6931
1994,9,3.21236
1994,10,2.52301
1994,11,1.15974
1994,12,0.720451
1995,1,-0.60883
1995,2,-0.631867
1995,3,-0.595594
1995,4,-0.107743
1995,5,-0.60681
1995,6,-0.676373
1995,7,-0.569537
1995,8,-0.872088
1995,9,-1.41468
1995,10,-0.968324
1995,11,-0.564432
1995,12,-0.922668
1996,1,-0.896031
1996,2,-0.905119
1996,3,-1.24773
1996,4,-1.7602
1996,5,-1.80184
1996,6,-1.691
1996,7,-1.62622
1996,8,-2.48036
1996,9,-2.64016
1996,10,-2.27971
1996,11,-2.16362
1996,12,-1.52633
1997,1,-0.484186
1997,2,-6.88E-02
1997,3,-0.197076
1997,4,0.126147
1997,5,0.242923
1997,6,0.429461
1997,7,0.745441
1997,8,1.79052
1997,9,2.83093
1997,10,3.15892
1997,11,2.95366
1997,12,2.9242
1998,1,1.96425
1998,2,0.942163
1998,3,0.702943
1998,4,0.997278
1998,5,0.362599
1998,6,0.358342
1998,7,-2.13E-02
1998,8,-1.00153
1998,9,-1.71981
1998,10,-1.48287
1998,11,-1.36529
1998,12,-0.845532
1999,1,-7.39E-02
1999,2,0.351632
1999,3,0.579166
1999,4,0.772433
1999,5,0.85371
1999,6,1.20495
1999,7,1.2954
1999,8,1.40109
1999,9,1.5667
1999,10,1.34247
